coc_id,coc_name,year,median_contract_rent_2019_dollars,first_quartile_contract_rent_2019_dollars,pit_total,pit_sheltered,pit_unsheltered,acs5_vintage_used,tract_vintage_used,cpi_u_adjustment_factor
AK-500,Anchorage CoC,2010,1152.44,902.65,1231,1113,118,2010,2010,1.17243736
AK-500,Anchorage CoC,2011,1151.0,886.01,1223,1082,141,2011,2010,1.13656147
AK-500,Anchorage CoC,2012,1178.46,902.22,1147,1097,50,2012,2010,1.11351777
AK-500,Anchorage CoC,2013,1193.88,914.52,1122,1070,52,2013,2010,1.09744288
AK-500,Anchorage CoC,2014,1216.47,921.54,1023,970,53,2014,2010,1.07992447
AK-500,Anchorage CoC,2015,1244.87,937.22,1208,1029,179,2015,2010,1.07864415
AK-500,Anchorage CoC,2016,1276.21,958.59,1105,865,240,2016,2010,1.06520643
AK-500,Anchorage CoC,2017,1287.55,953.71,1128,973,155,2017,2010,1.04298711
AK-500,Anchorage CoC,2018,1283.31,954.29,1094,1000,94,2018,2010,1.01811977
AK-500,Anchorage CoC,2019,1252.52,928.77,1111,1014,97,2019,2010,1.0
AK-501,Alaska Balance of State CoC,2010,977.59,683.07,632,558,74,2010,2010,1.17243736
AK-501,Alaska Balance of State CoC,2011,994.67,688.62,905,678,227,2011,2010,1.13656147
AK-501,Alaska Balance of State CoC,2012,1027.91,693.15,766,619,147,2012,2010,1.11351777
AK-501,Alaska Balance of State CoC,2013,1039.52,691.99,824,671,153,2013,2010,1.09744288
AK-501,Alaska Balance of State CoC,2014,1068.3,719.51,761,669,92,2014,2010,1.07992447
AK-501,Alaska Balance of State CoC,2015,1100.66,730.45,748,610,138,2015,2010,1.07864415
AK-501,Alaska Balance of State CoC,2016,1102.58,740.64,835,633,202,2016,2010,1.06520643
AK-501,Alaska Balance of State CoC,2017,1116.06,742.66,717,578,139,2017,2010,1.04298711
AK-501,Alaska Balance of State CoC,2018,1110.44,737.78,922,707,215,2018,2010,1.01811977
AK-501,Alaska Balance of State CoC,2019,1109.89,737.83,796,620,176,2019,2010,1.0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2010,656.66,461.89,2273,1069,1204,2010,2010,1.17243736
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2011,658.48,460.68,1950,1024,926,2011,2010,1.13656147
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2012,665.08,465.33,1707,1009,698,2012,2010,1.11351777
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2013,670.16,471.13,1469,960,509,2013,2010,1.09744288
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2014,672.12,463.95,1329,915,414,2014,2010,1.07992447
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2015,673.54,466.95,1153,916,237,2015,2010,1.07864415
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2016,677.35,468.18,1228,1032,196,2016,2010,1.06520643
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2017,682.56,467.53,1092,875,217,2017,2010,1.04298711
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2018,690.18,474.79,901,682,219,2018,2010,1.01811977
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2019,708.44,481.73,981,655,326,2019,2010,1.0
AL-501,Mobile City & County/Baldwin County CoC,2010,635.34,449.38,883,482,401,2010,2010,1.17243736
AL-501,Mobile City & County/Baldwin County CoC,2011,640.2,450.29,718,407,311,2011,2010,1.13656147
AL-501,Mobile City & County/Baldwin County CoC,2012,643.93,465.62,634,324,310,2012,2010,1.11351777
AL-501,Mobile City & County/Baldwin County CoC,2013,649.84,471.0,493,260,233,2013,2010,1.09744288
AL-501,Mobile City & County/Baldwin County CoC,2014,656.85,479.04,598,461,137,2014,2010,1.07992447
AL-501,Mobile City & County/Baldwin County CoC,2015,672.82,493.8,578,364,214,2015,2010,1.07864415
AL-501,Mobile City & County/Baldwin County CoC,2016,675.52,498.76,623,387,236,2016,2010,1.06520643
AL-501,Mobile City & County/Baldwin County CoC,2017,678.6,498.47,606,341,265,2017,2010,1.04298711
AL-501,Mobile City & County/Baldwin County CoC,2018,676.71,496.41,551,318,233,2018,2010,1.01811977
AL-501,Mobile City & County/Baldwin County CoC,2019,689.25,493.98,505,303,202,2019,2010,1.0
AL-502,Florence/Northwest Alabama CoC,2010,397.16,283.65,170,162,8,2010,2010,1.17243736
AL-502,Florence/Northwest Alabama CoC,2011,400.32,282.0,244,234,10,2011,2010,1.13656147
AL-502,Florence/Northwest Alabama CoC,2012,399.9,287.21,192,188,4,2012,2010,1.11351777
AL-502,Florence/Northwest Alabama CoC,2013,405.25,288.47,223,197,26,2013,2010,1.09744288
AL-502,Florence/Northwest Alabama CoC,2014,410.45,291.7,209,189,20,2014,2010,1.07992447
AL-502,Florence/Northwest Alabama CoC,2015,416.96,294.93,245,214,31,2015,2010,1.07864415
AL-502,Florence/Northwest Alabama CoC,2016,423.94,300.71,337,286,51,2016,2010,1.06520643
AL-502,Florence/Northwest Alabama CoC,2017,430.03,307.72,155,133,22,2017,2010,1.04298711
AL-502,Florence/Northwest Alabama CoC,2018,433.16,309.77,256,234,22,2018,2010,1.01811977
AL-502,Florence/Northwest Alabama CoC,2019,425.51,307.26,390,189,201,2019,2010,1.0
AL-503,Huntsville/North Alabama CoC,2010,582.4,435.77,819,645,174,2010,2010,1.17243736
AL-503,Huntsville/North Alabama CoC,2011,583.37,431.47,656,481,175,2011,2010,1.13656147
AL-503,Huntsville/North Alabama CoC,2012,607.84,439.87,607,432,175,2012,2010,1.11351777
AL-503,Huntsville/North Alabama CoC,2013,616.43,441.93,586,409,177,2013,2010,1.09744288
AL-503,Huntsville/North Alabama CoC,2014,613.24,438.67,536,499,37,2014,2010,1.07992447
AL-503,Huntsville/North Alabama CoC,2015,628.3,443.21,420,357,63,2015,2010,1.07864415
AL-503,Huntsville/North Alabama CoC,2016,632.6,449.29,385,298,87,2016,2010,1.06520643
AL-503,Huntsville/North Alabama CoC,2017,632.76,448.52,436,337,99,2017,2010,1.04298711
AL-503,Huntsville/North Alabama CoC,2018,640.68,455.59,424,308,116,2018,2010,1.01811977
AL-503,Huntsville/North Alabama CoC,2019,658.8,467.21,464,377,87,2019,2010,1.0
AL-504,Montgomery City & County CoC,2010,629.58,452.08,444,294,150,2010,2010,1.17243736
AL-504,Montgomery City & County CoC,2011,640.44,456.17,433,287,146,2011,2010,1.13656147
AL-504,Montgomery City & County CoC,2012,646.1,463.27,487,343,144,2012,2010,1.11351777
AL-504,Montgomery City & County CoC,2013,660.11,470.02,515,399,116,2013,2010,1.09744288
AL-504,Montgomery City & County CoC,2014,662.25,474.4,490,409,81,2014,2010,1.07992447
AL-504,Montgomery City & County CoC,2015,672.5,483.05,441,373,68,2015,2010,1.07864415
AL-504,Montgomery City & County CoC,2016,686.62,494.35,367,293,74,2016,2010,1.06520643
AL-504,Montgomery City & County CoC,2017,690.53,499.12,377,314,63,2017,2010,1.04298711
AL-504,Montgomery City & County CoC,2018,697.13,511.63,369,300,69,2018,2010,1.01811977
AL-504,Montgomery City & County CoC,2019,701.0,514.49,330,273,57,2019,2010,1.0
AL-505,Gadsden/Northeast Alabama CoC,2010,442.75,321.79,370,294,76,2010,2010,1.17243736
AL-505,Gadsden/Northeast Alabama CoC,2011,439.1,328.44,495,353,142,2011,2010,1.13656147
AL-505,Gadsden/Northeast Alabama CoC,2012,445.69,337.08,544,424,120,2012,2010,1.11351777
AL-505,Gadsden/Northeast Alabama CoC,2013,448.23,337.8,399,329,70,2013,2010,1.09744288
AL-505,Gadsden/Northeast Alabama CoC,2014,453.75,339.38,438,368,70,2014,2010,1.07992447
AL-505,Gadsden/Northeast Alabama CoC,2015,459.11,341.11,156,103,53,2015,2010,1.07864415
AL-505,Gadsden/Northeast Alabama CoC,2016,460.27,342.51,167,91,76,2016,2010,1.06520643
AL-505,Gadsden/Northeast Alabama CoC,2017,461.01,340.12,163,103,60,2017,2010,1.04298711
AL-505,Gadsden/Northeast Alabama CoC,2018,467.89,342.7,146,86,60,2018,2010,1.01811977
AL-505,Gadsden/Northeast Alabama CoC,2019,475.3,350.54,224,75,149,2019,2010,1.0
AL-506,Tuscaloosa City & County CoC,2010,636.0,457.13,278,263,15,2010,2010,1.17243736
AL-506,Tuscaloosa City & County CoC,2011,656.09,476.21,265,236,29,2011,2010,1.13656147
AL-506,Tuscaloosa City & County CoC,2012,658.88,472.9,152,128,24,2012,2010,1.11351777
AL-506,Tuscaloosa City & County CoC,2013,652.92,473.31,99,95,4,2013,2010,1.09744288
AL-506,Tuscaloosa City & County CoC,2014,662.89,478.97,245,133,112,2014,2010,1.07992447
AL-506,Tuscaloosa City & County CoC,2015,655.0,483.07,339,144,195,2015,2010,1.07864415
AL-506,Tuscaloosa City & County CoC,2016,650.5,486.81,177,47,130,2016,2010,1.06520643
AL-506,Tuscaloosa City & County CoC,2017,654.47,501.22,200,137,63,2017,2010,1.04298711
AL-506,Tuscaloosa City & County CoC,2018,659.23,500.02,57,56,1,2018,2010,1.01811977
AL-506,Tuscaloosa City & County CoC,2019,659.5,486.78,44,44,0,2019,2010,1.0
AL-507,Alabama Balance of State CoC,2010,422.76,282.74,809,682,127,2010,2010,1.17243736
AL-507,Alabama Balance of State CoC,2011,428.07,285.77,797,727,70,2011,2010,1.13656147
AL-507,Alabama Balance of State CoC,2012,433.82,286.65,886,816,70,2012,2010,1.11351777
AL-507,Alabama Balance of State CoC,2013,440.37,289.65,905,597,308,2013,2010,1.09744288
AL-507,Alabama Balance of State CoC,2014,447.91,302.39,716,544,172,2014,2010,1.07992447
AL-507,Alabama Balance of State CoC,2015,453.25,304.57,638,472,166,2015,2010,1.07864415
AL-507,Alabama Balance of State CoC,2016,461.21,311.91,827,459,368,2016,2010,1.06520643
AL-507,Alabama Balance of State CoC,2017,461.56,317.68,764,416,348,2017,2010,1.04298711
AL-507,Alabama Balance of State CoC,2018,461.35,313.95,730,440,290,2018,2010,1.01811977
AL-507,Alabama Balance of State CoC,2019,467.34,313.25,323,154,169,2019,2010,1.0
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2010,503.54,341.86,,,,2010,2010,1.17243736
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2011,509.68,343.07,,,,2011,2010,1.13656147
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2012,519.37,345.96,,,,2012,2010,1.11351777
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2013,527.71,354.49,,,,2013,2010,1.09744288
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2014,537.2,359.95,,,,2014,2010,1.07992447
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2015,546.76,365.8,,,,2015,2010,1.07864415
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2016,546.75,366.95,,,,2016,2010,1.06520643
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2017,554.96,372.54,,,,2017,2010,1.04298711
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2018,559.59,372.91,,,,2018,2010,1.01811977
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2019,557.34,379.38,,,,2019,2010,1.0
AR-500,Little Rock/Central Arkansas CoC,2010,643.07,485.6,1425,973,452,2010,2010,1.17243736
AR-500,Little Rock/Central Arkansas CoC,2011,643.48,485.04,1276,789,487,2011,2010,1.13656147
AR-500,Little Rock/Central Arkansas CoC,2012,642.07,483.82,1249,762,487,2012,2010,1.11351777
AR-500,Little Rock/Central Arkansas CoC,2013,646.8,490.41,1066,563,503,2013,2010,1.09744288
AR-500,Little Rock/Central Arkansas CoC,2014,651.59,491.79,1074,571,503,2014,2010,1.07992447
AR-500,Little Rock/Central Arkansas CoC,2015,655.22,494.64,830,491,339,2015,2010,1.07864415
AR-500,Little Rock/Central Arkansas CoC,2016,662.53,506.2,808,469,339,2016,2010,1.06520643
AR-500,Little Rock/Central Arkansas CoC,2017,674.0,519.14,1006,456,550,2017,2010,1.04298711
AR-500,Little Rock/Central Arkansas CoC,2018,676.51,514.48,1081,531,550,2018,2010,1.01811977
AR-500,Little Rock/Central Arkansas CoC,2019,683.29,521.64,1066,493,573,2019,2010,1.0
AR-501,Fayetteville/Northwest Arkansas CoC,2010,626.98,482.43,251,221,30,2010,2010,1.17243736
AR-501,Fayetteville/Northwest Arkansas CoC,2011,628.76,481.66,238,199,39,2011,2010,1.13656147
AR-501,Fayetteville/Northwest Arkansas CoC,2012,626.28,478.14,186,147,39,2012,2010,1.11351777
