coc_id,coc_name,year,median_contract_rent,first_quartile_contract_rent,pit_total,pit_sheltered,pit_unsheltered,acs5_vintage_used,tract_vintage_used
AK-500,Anchorage CoC,2010,982.94,769.89,1231,1113,118,2010,2010
AK-500,Anchorage CoC,2011,1012.7,779.55,1223,1082,141,2011,2010
AK-500,Anchorage CoC,2012,1058.32,810.24,1147,1097,50,2012,2010
AK-500,Anchorage CoC,2013,1087.87,833.32,1122,1070,52,2013,2010
AK-500,Anchorage CoC,2014,1126.44,853.34,1023,970,53,2014,2010
AK-500,Anchorage CoC,2015,1154.11,868.89,1208,1029,179,2015,2010
AK-500,Anchorage CoC,2016,1198.09,899.91,1105,865,240,2016,2010
AK-500,Anchorage CoC,2017,1234.48,914.4,1128,973,155,2017,2010
AK-500,Anchorage CoC,2018,1260.47,937.31,1094,1000,94,2018,2010
AK-500,Anchorage CoC,2019,1252.52,928.77,1111,1014,97,2019,2010
AK-500,Anchorage CoC,2020,1243.48,926.47,1058,1003,55,2020,2020
AK-500,Anchorage CoC,2021,1272.26,941.89,1319,1167,152,2021,2020
AK-500,Anchorage CoC,2022,1324.98,988.2,1494,1369,125,2022,2020
AK-500,Anchorage CoC,2023,1391.76,1029.65,1760,1425,335,2023,2020
AK-500,Anchorage CoC,2024,1411.71,1059.06,1709,1363,346,2024,2020
AK-501,Alaska Balance of State CoC,2010,833.81,582.61,632,558,74,2010,2010
AK-501,Alaska Balance of State CoC,2011,875.16,605.88,905,678,227,2011,2010
AK-501,Alaska Balance of State CoC,2012,923.12,622.49,766,619,147,2012,2010
AK-501,Alaska Balance of State CoC,2013,947.22,630.55,824,671,153,2013,2010
AK-501,Alaska Balance of State CoC,2014,989.24,666.26,761,669,92,2014,2010
AK-501,Alaska Balance of State CoC,2015,1020.41,677.19,748,610,138,2015,2010
AK-501,Alaska Balance of State CoC,2016,1035.09,695.3,835,633,202,2016,2010
AK-501,Alaska Balance of State CoC,2017,1070.06,712.05,717,578,139,2017,2010
AK-501,Alaska Balance of State CoC,2018,1090.68,724.65,922,707,215,2018,2010
AK-501,Alaska Balance of State CoC,2019,1109.89,737.83,796,620,176,2019,2010
AK-501,Alaska Balance of State CoC,2020,1098.44,726.65,891,722,169,2020,2020
AK-501,Alaska Balance of State CoC,2021,1120.48,749.46,630,630,0,2021,2020
AK-501,Alaska Balance of State CoC,2022,1179.29,805.83,826,594,232,2022,2020
