msa_rank,msa_id,msa_name,msa_population,year,coc_id,coc_name,coc_contained_in_msa_percent,containment_threshold_percent,msa_covered_by_coc_percent,intersection_area,coc_area,msa_area,boundary_vintage,county_vintage,definition_version,ranking_population_source,ranking_reference_year,top_n
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NY-603,"Nassau, Suffolk Counties CoC",100.000000000001,95.0,14.028049461610156,3141079594.1133513,3141079594.11332,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-501,Bergen County CoC,100.00000000000027,95.0,2.7708008630836356,620421682.5868458,620421682.5868441,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-515,Elizabeth/Union County CoC,100.00000000000024,95.0,1.2022819531061444,269208012.10512614,269208012.1051255,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-504,Newark/Essex County CoC,100.0,95.0,1.479055637192376,331181572.55271316,331181572.55271316,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NY-600,New York City CoC,99.99999999999991,95.0,3.4925392123894388,782029153.9247247,782029153.9247254,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-506,"Jersey City, Bayonne/Hudson County CoC",99.99999999999952,95.0,0.5461430678165673,122289192.84036933,122289192.84036991,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-509,Morris County CoC,99.99999998141746,95.0,5.569776472165429,1247152091.1278117,1247152091.3595643,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-508,Monmouth County CoC,99.99999997704468,95.0,5.5251009327093055,1237148603.0644376,1237148603.348429,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-511,Paterson/Passaic County CoC,99.99999997486837,95.0,2.295878400096516,514079795.1165069,514079795.2457035,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-513,Somerset County CoC,99.99999997473746,95.0,3.5273558597448575,789825095.9651939,789825096.1647238,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-507,New Brunswick/Middlesex County CoC,99.99999995909937,95.0,3.6328221570545534,813440498.4666443,813440498.7993466,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NJ-510,Lakewood Township/Ocean County CoC,99.99999995840277,95.0,7.445270136289062,1667101770.7599962,1667101771.4534645,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NY-604,"Yonkers, Mount Vernon/Westchester County CoC",99.99999995048103,95.0,5.200299683829071,1164420988.4525676,1164420989.029177,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
1,35620,"New York-Newark-Jersey City, NY-NJ",20112448.0,2025,NY-606,Rockland County CoC,99.99999994087648,95.0,2.0675379408078927,462951121.87189174,462951122.1456047,22391420865.098763,2025,2023,census_msa_2023,pep,2025,100
2,31080,"Los Angeles-Long Beach-Anaheim, CA",12844441.0,2025,CA-607,Pasadena CoC,100.00000000000023,95.0,0.40534851088025475,59832468.26001785,59832468.260017715,14760747024.84676,2025,2023,census_msa_2023,pep,2025,100
2,31080,"Los Angeles-Long Beach-Anaheim, CA",12844441.0,2025,CA-612,Glendale CoC,100.00000000000011,95.0,0.5370316792526847,79269887.61777525,79269887.61777516,14760747024.84676,2025,2023,census_msa_2023,pep,2025,100
2,31080,"Los Angeles-Long Beach-Anaheim, CA",12844441.0,2025,CA-606,Long Beach CoC,99.99999999999973,95.0,0.907470270237651,133949390.91547292,133949390.91547328,14760747024.84676,2025,2023,census_msa_2023,pep,2025,100
2,31080,"Los Angeles-Long Beach-Anaheim, CA",12844441.0,2025,CA-600,Los Angeles City & County CoC,99.99999996067369,95.0,69.84464934735755,10309592000.554731,10309592004.609114,14760747024.84676,2025,2023,census_msa_2023,pep,2025,100
2,31080,"Los Angeles-Long Beach-Anaheim, CA",12844441.0,2025,CA-602,"Santa Ana, Anaheim/Orange County CoC",99.99999995012901,95.0,14.018938499321026,2069300047.4536252,2069300048.4856055,14760747024.84676,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-510,Chicago CoC,100.0,95.0,2.6235540010171166,599622314.9024142,599622314.9024142,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-517,"Aurora, Elgin/Kane County CoC",99.99999999999997,95.0,6.174461254332583,1411194413.8229358,1411194413.8229363,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-514,DuPage County CoC,99.99999999999987,95.0,3.7745485095667726,862686079.3185248,862686079.3185259,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-511,Cook County CoC,99.99999999999984,95.0,8.252835161720018,1886213938.138913,1886213938.1389158,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-502,"Waukegan, North Chicago/Lake County CoC",99.99999996809493,95.0,5.363225978383276,1225783793.760746,1225783794.1518333,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-500,McHenry County CoC,99.99999995518195,95.0,6.971972104241721,1593468268.9815927,1593468269.695754,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
3,16980,"Chicago-Naperville-Elgin, IL-IN",9434123.0,2025,IL-506,"Joliet, Bolingbrook/Will County CoC",99.99999995470424,95.0,17.877848146393518,4086043850.0058827,4086043851.8566875,22855344874.54608,2025,2023,census_msa_2023,pep,2025,100
4,19100,"Dallas-Fort Worth-Arlington, TX",8477157.0,2025,TX-600,"Dallas City & County, Irving CoC",99.99999998848631,95.0,21.249981198633908,4957349291.234788,4957349291.805562,23328723187.545597,2025,2023,census_msa_2023,pep,2025,100
4,19100,"Dallas-Fort Worth-Arlington, TX",8477157.0,2025,TX-601,"Fort Worth, Arlington/Tarrant County CoC",99.99999997420188,95.0,20.50962078857872,4784632660.582836,4784632661.817182,23328723187.545597,2025,2023,census_msa_2023,pep,2025,100
5,26420,"Houston-Pasadena-The Woodlands, TX",7904627.0,2025,TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",99.99999997944454,95.0,37.13881762521704,9687920329.620771,9687920331.612167,26085699408.59596,2025,2023,census_msa_2023,pep,2025,100
6,12060,"Atlanta-Sandy Springs-Roswell, GA",6482182.0,2025,GA-506,Marietta/Cobb County CoC,100.00000000000043,95.0,3.8565493533351924,892355645.7840453,892355645.7840415,23138706756.39934,2025,2023,census_msa_2023,pep,2025,100
6,12060,"Atlanta-Sandy Springs-Roswell, GA",6482182.0,2025,GA-508,DeKalb County CoC,100.00000000000038,95.0,2.935067663758047,679136699.8188754,679136699.8188729,23138706756.39934,2025,2023,census_msa_2023,pep,2025,100
6,12060,"Atlanta-Sandy Springs-Roswell, GA",6482182.0,2025,GA-500,Atlanta CoC,100.00000000000024,95.0,1.5260246552261512,353102370.0031332,353102370.0031323,23138706756.39934,2025,2023,census_msa_2023,pep,2025,100
6,12060,"Atlanta-Sandy Springs-Roswell, GA",6482182.0,2025,GA-502,Fulton County CoC,99.99999999999996,95.0,4.598260079947047,1063977915.795521,1063977915.7955215,23138706756.39934,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,DC-500,District of Columbia CoC,100.00000000000043,95.0,0.9824098425560847,161232580.51798302,161232580.51798233,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,VA-603,Alexandria CoC,100.00000000000016,95.0,0.23890267012689612,39208579.07630024,39208579.07630018,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,VA-604,Prince William County CoC,99.9999999999998,95.0,5.574199485820995,914834653.0023949,914834653.0023967,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,VA-600,Arlington County CoC,99.99999999999977,95.0,0.4116939535994864,67566992.55963174,67566992.55963188,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,VA-601,Fairfax County CoC,99.99999999999957,95.0,6.397899132618756,1050019800.6587025,1050019800.6587069,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,VA-602,Loudoun County CoC,99.99999999742086,95.0,8.22723616047587,1350249620.0903637,1350249620.1251886,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,MD-601,Montgomery County CoC,99.99999995694358,95.0,7.999537882607706,1312879899.9085455,1312879900.4738245,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724.0,2025,MD-600,Prince George's County CoC,99.99999991912041,95.0,7.6964898172728295,1263143812.709139,1263143813.7307646,16411946779.612852,2025,2023,census_msa_2023,pep,2025,100
8,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6391072.0,2025,FL-601,Ft Lauderdale/Broward County CoC,99.99999997768217,95.0,20.1418265051098,3172255617.163703,3172255617.8716817,15749592602.036016,2025,2023,census_msa_2023,pep,2025,100
8,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6391072.0,2025,FL-605,West Palm Beach/Palm Beach County CoC,99.99999996649342,95.0,36.4413442562277,5739363259.061316,5739363260.98438,15749592602.036016,2025,2023,census_msa_2023,pep,2025,100
8,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6391072.0,2025,FL-600,Miami-Dade County CoC,99.99999994789601,95.0,32.55377231895578,5127086516.829907,5127086519.501324,15749592602.036016,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,PA-500,Philadelphia CoC,99.99999999999986,95.0,2.8907881506344264,364649250.4876289,364649250.4876294,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",99.99999999999986,95.0,3.7993234185286466,479253533.89265686,479253533.8926576,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",99.99999997159621,95.0,10.003598226402492,1261871989.6981995,1261871990.056619,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,PA-505,Chester County CoC,99.99999994663916,95.0,15.588154511144092,1966318029.1252267,1966318030.1744704,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,NJ-502,Burlington County CoC,99.99999992782953,95.0,16.827075696487995,2122597790.2518766,2122597791.783765,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,PA-511,"Bristol, Bensalem/Bucks County CoC",99.99999992777728,95.0,12.768150937035797,1610597673.2612572,1610597674.4244745,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118.0,2025,NJ-512,Salem County CoC,99.99999990433362,95.0,7.134817701043504,899998820.9030116,899998821.7640078,12614181029.059538,2025,2023,census_msa_2023,pep,2025,100
10,38060,"Phoenix-Mesa-Chandler, AZ",5228938.0,2025,AZ-502,"Phoenix, Mesa/Maricopa County CoC",99.69782595936901,95.0,63.18883699950043,23895236737.81744,23967660786.861828,37815598248.79568,2025,2023,census_msa_2023,pep,2025,100
11,14460,"Boston-Cambridge-Newton, MA-NH",5034221.0,2025,MA-500,Boston CoC,100.00000000000033,95.0,1.0987355841443052,128374097.85848534,128374097.85848492,11683802701.126043,2025,2023,census_msa_2023,pep,2025,100
11,14460,"Boston-Cambridge-Newton, MA-NH",5034221.0,2025,MA-509,Cambridge CoC,100.00000000000011,95.0,0.15746064089276604,18397390.613839377,18397390.613839358,11683802701.126043,2025,2023,census_msa_2023,pep,2025,100
11,14460,"Boston-Cambridge-Newton, MA-NH",5034221.0,2025,MA-502,Lynn CoC,99.9999999999997,95.0,0.2551812121972915,29814869.363473326,29814869.363473415,11683802701.126043,2025,2023,census_msa_2023,pep,2025,100
11,14460,"Boston-Cambridge-Newton, MA-NH",5034221.0,2025,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",99.99999995509965,95.0,16.07516287802826,1878190314.5534768,1878190315.3967907,11683802701.126043,2025,2023,census_msa_2023,pep,2025,100
