slug,msa_id,msa_name,states_overlapped,county_count,overlapping_coc_count,county_fips,coc_ids,map_path
washington_dc,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia; Maryland; Virginia; West Virginia,23,19,"11001,24017,24021,24031,24033,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037","DC-500,MD-503,MD-504,MD-506,MD-514,MD-600,MD-601,PA-509,VA-500,VA-504,VA-513,VA-514,VA-521,VA-600,VA-601,VA-602,VA-603,VA-604,WV-508",outputs/requested_msa_overlay_maps_2025/map__washington_dc__M47900@B2025xC2023.html
boston_ma,14460,"Boston-Cambridge-Newton, MA-NH",Massachusetts; New Hampshire,7,13,"25009,25017,25021,25023,25025,33015,33017","MA-500,MA-502,MA-503,MA-505,MA-506,MA-509,MA-511,MA-516,ME-500,NH-500,NH-501,NH-502,RI-500",outputs/requested_msa_overlay_maps_2025/map__boston_ma__M14460@B2025xC2023.html
san_francisco_ca,41860,"San Francisco-Oakland-Fremont, CA",California,5,12,"06001,06013,06041,06075,06081","CA-500,CA-501,CA-502,CA-503,CA-504,CA-505,CA-507,CA-508,CA-510,CA-511,CA-512,CA-518",outputs/requested_msa_overlay_maps_2025/map__san_francisco_ca__M41860@B2025xC2023.html
philadelphia_pa,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware; Maryland; New Jersey; Pennsylvania,11,19,"10003,24015,34005,34007,34015,34033,42017,42029,42045,42091,42101","DE-500,MD-511,MD-514,NJ-500,NJ-502,NJ-503,NJ-508,NJ-510,NJ-512,NJ-514,NJ-516,PA-500,PA-502,PA-504,PA-505,PA-506,PA-509,PA-510,PA-511",outputs/requested_msa_overlay_maps_2025/map__philadelphia_pa__M37980@B2025xC2023.html
baltimore_md,12580,"Baltimore-Columbia-Towson, MD",Maryland,7,13,"24003,24005,24013,24025,24027,24035,24510","DE-500,MD-501,MD-503,MD-504,MD-505,MD-506,MD-511,MD-514,MD-600,MD-601,PA-509,PA-510,PA-512",outputs/requested_msa_overlay_maps_2025/map__baltimore_md__M12580@B2025xC2023.html
st_louis_mo,41180,"St. Louis, MO-IL",Illinois; Missouri,15,10,"17005,17013,17027,17083,17117,17119,17133,17163,29071,29099,29113,29183,29189,29219,29510","IL-504,IL-508,IL-513,IL-515,IL-519,IL-520,MO-500,MO-501,MO-503,MO-606",outputs/requested_msa_overlay_maps_2025/map__st_louis_mo__M41180@B2025xC2023.html
indianapolis_in,26900,"Indianapolis-Carmel-Greenwood, IN",Indiana,11,2,"18011,18013,18057,18059,18063,18081,18095,18097,18109,18145,18159","IN-502,IN-503",outputs/requested_msa_overlay_maps_2025/map__indianapolis_in__M26900@B2025xC2023.html
chicago_il,16980,"Chicago-Naperville-Elgin, IL-IN",Illinois; Indiana,13,12,"17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127","IL-500,IL-501,IL-502,IL-506,IL-510,IL-511,IL-512,IL-514,IL-517,IL-518,IN-502,WI-500",outputs/requested_msa_overlay_maps_2025/map__chicago_il__M16980@B2025xC2023.html
atlanta_ga,12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia,29,6,"13013,13015,13035,13045,13057,13063,13067,13077,13085,13089,13097,13113,13117,13121,13135,13143,13149,13151,13159,13187,13199,13211,13217,13223,13227,13231,13247,13255,13297","AL-507,GA-500,GA-501,GA-502,GA-506,GA-508",outputs/requested_msa_overlay_maps_2025/map__atlanta_ga__M12060@B2025xC2023.html
detroit_mi,19820,"Detroit-Warren-Dearborn, MI",Michigan,6,11,"26087,26093,26099,26125,26147,26163","MI-500,MI-501,MI-502,MI-503,MI-504,MI-505,MI-508,MI-509,MI-515,MI-517,MI-518",outputs/requested_msa_overlay_maps_2025/map__detroit_mi__M19820@B2025xC2023.html
