msa_population_rank_2020_pep_non_pr,msa_id,cbsa_code,msa_name,area_type,year,msa_2020_pep_population_non_pr,population_ranking_coverage_ratio,expected_county_count,observed_county_count,population_ranking_missing_counties,pit_total,pit_sheltered,pit_unsheltered,covered_coc_count,expected_coc_count,allocation_share_sum,expected_allocation_share_sum,allocation_coverage_ratio,missing_cocs,unmapped_source_coc_count,overdose_deaths_12mo,overdose_coverage_ratio,overdose_county_count,overdose_county_expected,overdose_missing_counties,overdose_suppressed_counties,overdose_reference_month,overdose_reference_date,pr_excluded,ranking_source,pit_source,pit_allocation_basis,overdose_source,boundary_vintage,county_vintage,definition_version
1,35620,35620,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area,2020,19999993,1.0,22,22,,90579.3945355049,85255.73711297182,5323.65742253307,19,19,14.765373697595315,14.765373697595315,1.0,,20,3972.0,1.0,22,22,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
2,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,2020,13182677,1.0,2,2,,73409.36378329011,21410.649566242115,51998.714217048,9,9,4.999900270295227,4.999900270295227,1.0,,20,412.0,0.5,1,2,,06037,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
3,16980,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,2020,9435971,1.0,13,13,,8115.412592972206,6255.353596255709,1860.0589967164976,10,10,7.493982508568024,7.493982508568024,1.0,,20,725.0,0.7692307692307693,10,13,,"17031,18073,18111",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
4,19100,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,2020,7667416,1.0,11,11,,6786.671541965686,4251.535652450436,2535.1358895152503,5,5,2.0843038310299944,2.0843038310299944,1.0,,20,765.0,0.8181818181818182,9,11,,"48231,48397",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
5,26420,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,2020,7169284,1.0,10,10,,4193.629528976797,2399.973053988097,1793.6564749887002,2,2,1.0238779640943814,1.0238779640943814,1.0,,20,882.0,0.7,7,10,,"48015,48407,48473",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
6,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,2020,6260638,1.0,23,23,,9967.337217644272,8750.475108170738,1216.8621094735327,15,16,9.714954455079384,9.901333111734571,0.9811764078077224,MD-514,20,1160.0,0.782608695652174,18,23,,"51043,51157,51600,51630,51685",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
7,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,2020,6242164,1.0,11,11,,8441.590911060259,7175.980725723991,1265.610185336267,9,10,7.660202427098017,7.777450203039342,0.9849246510256658,MD-514,20,1808.0,0.9090909090909091,10,11,,42101,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
8,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,2020,6133159,1.0,3,3,,7280.702533037486,4246.864602384795,3033.8379306526913,5,5,2.999920592084009,2.999920592084009,1.0,,20,1312.0,1.0,3,3,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
9,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,2020,6120770,1.0,29,29,,4882.589746566681,3287.2515063427877,1595.3382402238935,5,5,4.1376384793215655,4.1376384793215655,1.0,,20,756.0,0.6206896551724138,18,29,,"13035,13085,13143,13149,13159,13187,13199,13211,13231,13247,13255",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
10,14460,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,2020,4921409,1.0,7,7,,12499.488595841796,11752.504816480721,746.9837793610759,9,10,6.130551407113818,7.130550065346661,0.8597585531174268,MA-510_and_MA-516_Shared_Jurisdiction,20,1335.0,1.0,7,7,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
11,38060,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area,2020,4875256,1.0,2,2,,7527.180945617636,3703.02288491245,3824.1580607051865,3,3,1.0539271746701937,1.0539271746701937,1.0,,20,90.0,0.5,1,2,,04013,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
12,41860,41860,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area,2020,4745853,1.0,5,5,,21141.99701666343,6470.9987293437625,14670.998287319668,5,5,4.999998107799361,4.999998107799361,1.0,,20,974.0,1.0,5,5,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
13,40140,40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,2020,4607646,1.0,2,2,,6010.963593508212,1464.6164216397563,4546.347171868457,7,7,2.0001180309070237,2.0001180309070237,1.0,,20,742.0,1.0,2,2,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
14,19820,19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,2020,4385353,1.0,6,6,,2653.016227584925,2361.4932039529626,291.52302363196276,7,7,5.031973949421692,5.031973949421692,1.0,,20,1299.0,1.0,6,6,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
15,42660,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,2020,4027814,1.0,3,3,,14779.999840206627,7614.999917197241,7164.9999230093845,3,3,2.9999999157634556,2.9999999157634556,1.0,,20,735.0,1.0,3,3,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
16,33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,2020,3694131,1.0,15,15,,5515.9991466277215,4295.668870304493,1220.3302763232289,7,7,3.284450859609779,3.284450859609779,1.0,,20,504.0,0.5333333333333333,8,15,,"27025,27059,27079,27095,27141,55093,55109",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
17,41740,41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area,2020,3301110,1.0,1,1,,7637.839920378732,3666.916505390103,3970.923414988629,3,3,0.9999825529004885,0.9999825529004885,1.0,,20,493.0,1.0,1,1,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
18,45300,45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,2020,3187831,1.0,4,4,,4696.666757142076,2515.892921589425,2180.7738355526503,5,5,3.1716384756200244,3.1716384756200244,1.0,,20,952.0,1.0,4,4,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
19,19740,19740,"Denver-Aurora-Centennial, CO",Metropolitan Statistical Area,2020,2970099,1.0,10,10,,5172.057319549263,3830.1426727790918,1341.9146467701717,2,2,0.8844622417690613,0.8844622417690613,1.0,,20,535.0,0.6,6,10,,"08019,08039,08047,08093",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
20,12580,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2020,2847138,1.0,7,7,,3691.1889676937562,3005.4484607324785,685.7405069612777,9,9,6.204989820774419,6.204989820774419,1.0,,20,1552.0,1.0,7,7,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
