msa_population_rank_2020_pep_non_pr,msa_id,cbsa_code,msa_name,area_type,year,msa_2020_pep_population_non_pr,population_ranking_coverage_ratio,expected_county_count,observed_county_count,population_ranking_missing_counties,pit_total,pit_sheltered,pit_unsheltered,covered_coc_count,expected_coc_count,allocation_share_sum,expected_allocation_share_sum,allocation_coverage_ratio,missing_cocs,unmapped_source_coc_count,overdose_deaths_12mo,overdose_coverage_ratio,overdose_county_count,overdose_county_expected,overdose_missing_counties,overdose_suppressed_counties,overdose_reference_month,overdose_reference_date,pr_excluded,ranking_source,pit_source,pit_allocation_basis,overdose_source,boundary_vintage,county_vintage,definition_version
1,35620,35620,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area,2020,19999993,1.0,22,22,,90579.3945355049,85255.73711297182,5323.65742253307,19,19,14.765373697595315,14.765373697595315,1.0,,20,3972.0,1.0,22,22,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
2,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,2020,13182677,1.0,2,2,,73409.36378329011,21410.649566242115,51998.714217048,9,9,4.999900270295227,4.999900270295227,1.0,,20,412.0,0.5,1,2,,06037,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
3,16980,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,2020,9435971,1.0,13,13,,8115.412592972206,6255.353596255709,1860.0589967164976,10,10,7.493982508568024,7.493982508568024,1.0,,20,725.0,0.7692307692307693,10,13,,"17031,18073,18111",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
4,19100,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,2020,7667416,1.0,11,11,,6786.671541965686,4251.535652450436,2535.1358895152503,5,5,2.0843038310299944,2.0843038310299944,1.0,,20,765.0,0.8181818181818182,9,11,,"48231,48397",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
5,26420,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,2020,7169284,1.0,10,10,,4193.629528976797,2399.973053988097,1793.6564749887002,2,2,1.0238779640943814,1.0238779640943814,1.0,,20,882.0,0.7,7,10,,"48015,48407,48473",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
6,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,2020,6260638,1.0,23,23,,9967.337217644272,8750.475108170738,1216.8621094735327,15,16,9.714954455079384,9.901333111734571,0.9811764078077224,MD-514,20,1160.0,0.782608695652174,18,23,,"51043,51157,51600,51630,51685",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
7,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,2020,6242164,1.0,11,11,,8441.590911060259,7175.980725723991,1265.610185336267,9,10,7.660202427098017,7.777450203039342,0.9849246510256658,MD-514,20,1808.0,0.9090909090909091,10,11,,42101,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
8,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,2020,6133159,1.0,3,3,,7280.702533037486,4246.864602384795,3033.8379306526913,5,5,2.999920592084009,2.999920592084009,1.0,,20,1312.0,1.0,3,3,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
9,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,2020,6120770,1.0,29,29,,4882.589746566681,3287.2515063427877,1595.3382402238935,5,5,4.1376384793215655,4.1376384793215655,1.0,,20,756.0,0.6206896551724138,18,29,,"13035,13085,13143,13149,13159,13187,13199,13211,13231,13247,13255",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
10,14460,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,2020,4921409,1.0,7,7,,12499.488595841796,11752.504816480721,746.9837793610759,9,10,6.130551407113818,7.130550065346661,0.8597585531174268,MA-510_and_MA-516_Shared_Jurisdiction,20,1335.0,1.0,7,7,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
