msa_population_rank_2020_census,msa_id,cbsa_code,msa_name,msa_2020_census_population,year,pit_total,pit_sheltered,pit_unsheltered,republican_votes,democratic_votes,two_party_votes,totalvotes,republican_vote_share,democratic_vote_share,democratic_margin_votes,democratic_margin_share,major_party_vote_share,presidential_votes_applicable,medsl_county_count,missing_presidential_vote_county_count,missing_presidential_vote_counties,coc_count,covered_coc_count,missing_coc_count,missing_cocs,coc_population_coverage_ratio,msa_population_coverage_ratio,allocation_share_sum,expected_allocation_share_sum,unmapped_source_coc_count,unmapped_source_cocs,unmapped_source_additive_measure_totals,allocation_basis,denominator_source,boundary_vintage,county_vintage,block_vintage,decennial_vintage,msa_definition_version,source
1,35620,35620,"New York-Newark-Jersey City, NY-NJ",20081935,2020,91340.48137629197,85957.30254311499,5383.178833176968,3019998,5398959,8418957,8550911,0.35317850928398153,0.6313899185712493,2378961,0.27821140928726773,0.9845684278552309,True,22,0,,19,19,0,,1.0,0.9995105278819839,15.900270967389197,15.900270967389197,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
2,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",13200998,2020,73413.11383620178,21411.754333971592,52001.35950223018,1822028,3842894,5664922,5786478,0.31487685600809334,0.6641162378911663,2020866,0.3492393818830729,0.9789930938992596,True,2,0,,8,8,0,,1.0,0.9998865532942317,5.0000184813315816,5.0000184813315816,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
3,16980,16980,"Chicago-Naperville-Elgin, IL-IN",9449351,2020,8307.78744574441,6400.972493265319,1906.8149524790917,1430638,2840822,4271460,4348648,0.3289845487609022,0.6532655666772753,1410184,0.3242810179163731,0.9822501154381775,True,13,0,,9,9,0,,1.0,0.9999637337433548,7.352493799761096,7.352493799761096,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
4,19100,19100,"Dallas-Fort Worth-Arlington, TX",7637387,2020,7756.236026424795,4625.890578350305,3130.3454480744913,1495550,1535525,3031075,3078233,0.48584691282303843,0.4988332592107225,39975,0.012986346387684089,0.9846801720337609,True,11,0,,4,4,0,,1.0,1.0,2.328025138254932,2.328025138254932,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
5,26420,26420,"Houston-Pasadena-The Woodlands, TX",7149642,2020,4775.79201781266,2617.2554900052814,2158.5365278073778,1312597,1332453,2645050,2680833,0.48962281499817406,0.4970294680795111,19856,0.0074066530813370335,0.9866522830776852,True,10,0,,2,2,0,,1.0,0.9999539322281406,1.0871702563336245,1.0871702563336245,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
6,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6278542,2020,10083.79444057467,8847.678603312697,1236.115837261973,787772,2295373,3083145,3152961,0.24985148880687075,0.7280055160847216,1507601,0.4781540272778509,0.9778570048915923,True,23,0,,15,14,1,MD-514,0.977894038102465,0.9734709490961785,10.120592976530842,10.349375885519402,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
7,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,2020,9199.360265421197,7798.069413588447,1401.2908518327517,1162186,2159492,3321678,3357985,0.3460962452184867,0.6430916159542106,997306,0.2969953707357239,0.9891878611726973,True,11,0,,10,9,1,MD-514,0.9832170429985658,0.9833897630463444,8.345084454578949,8.487530310834046,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
8,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6138333,2020,7280.990836876271,4246.997087218937,3033.9937496573334,1200953,1670188,2871141,2887646,0.4158934301503716,0.5783908415366703,469235,0.1624974113862987,0.9942842716870419,True,3,0,,3,3,0,,1.0,0.998558510360075,2.999993931706149,2.999993931706149,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
9,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",6104803,2020,6379.840726047525,4005.752953612597,2374.0877724349284,1234949,1686086,2921035,2959653,0.417261415442959,0.5696904333041745,451137,0.15242901786121543,0.9869518487471335,True,29,0,,5,5,0,,1.0,1.0,4.481913250413319,4.481913250413319,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
10,14460,14460,"Boston-Cambridge-Newton, MA-NH",4941632,2020,14890.492273039154,13920.321424051908,970.1708489872456,803274,1743643,2546917,2618492,0.3067696979788367,0.6658958667813383,940369,0.3591261688025016,0.972665564760175,True,7,0,,11,10,1,MA-510_and_MA-516_Shared_Jurisdiction,0.8818798742534008,0.8133271133526851,7.465955070899612,8.465954705248588,187,"AK-500,AK-501,AL-501,AL-502,AL-503,AL-504,AL-505,AL-506,AR-500,AR-501,AR-505,AZ-501,CA-504,CA-508,CA-509,CA-510,CA-511,CA-513,CA-516,CA-517,CA-518,CA-519,CA-520,CA-522,CA-523,CA-524,CA-526,CA-527,CA-529,CA-530,CA-531,CA-603,CA-604,CA-613,CA-614,CO-504,CO-505,FL-500,FL-503,FL-504,FL-505,FL-506,FL-508,FL-509,FL-511,FL-513,FL-514,FL-515,FL-517,FL-518,FL-602,FL-603,FL-604,FL-606,GA-503,GA-504,GA-505,GA-507,GU-500,HI-500,HI-501,IA-500,IA-501,IA-502,ID-500,ID-501,IL-503,IL-507,IL-512,IL-513,IL-516,IL-518,KS-502,KS-503,KY-502,LA-500,LA-502,LA-503,LA-505,LA-506,LA-507,LA-509,MA-503,MA-504,MA-507,MD-500,MD-507,MD-508,MD-510,MD-512,MD-513,MI-506,MI-507,MI-508,MI-509,MI-510,MI-511,MI-512,MI-514,MI-515,MI-516,MI-517,MI-519,MI-523,MN-504,MN-506,MN-508,MN-509,MO-600,MO-602,MO-603,MP-500,MS-500,MS-503,MT-500,NC-500,NC-501,NC-504,NC-506,NC-511,NC-513,NC-516,ND-500,NE-500,NE-501,NE-502,NH-501,NH-502,NJ-500,NJ-514,NM-500,NM-501,NV-501,NV-502,NY-500,NY-501,NY-503,NY-505,NY-507,NY-510,NY-511,NY-512,NY-513,NY-514,NY-518,NY-519,NY-520,NY-522,NY-523,NY-608,OH-501,OH-506,OH-508,OK-501,OK-505,OR-500,OR-502,OR-503,OR-504,PA-501,PA-503,PA-506,PA-508,PA-509,PA-510,SC-500,SC-503,SD-500,TN-500,TN-502,TN-509,TN-512,TX-603,TX-604,TX-611,UT-504,VA-502,VA-508,VI-500,VT-500,VT-501,WA-502,WI-502,WI-503,WV-501,WV-503,WY-500","{""pit_sheltered"":72656.0,""pit_total"":122895.0,""pit_unsheltered"":50239.0}",block_population,pl_94_171_block_population,2020,2023,2020,2020,census_msa_2023,msa_fractional_rollup_population_basis_pit2020_vintage
