geo_type,geo_id,msa_id,cbsa_code,msa_name,year,msa_population_rank_2020_census_nonpr,msa_2020_census_population,pit_total,pit_sheltered,pit_unsheltered,median_contract_rent_weighted,contract_rent_cash_renter_households,contract_rent_distribution_total,contract_rent_distribution_with_cash_rent,contract_rent_distribution_cash_rent_lt_100,contract_rent_distribution_cash_rent_100_to_149,contract_rent_distribution_cash_rent_150_to_199,contract_rent_distribution_cash_rent_200_to_249,contract_rent_distribution_cash_rent_250_to_299,contract_rent_distribution_cash_rent_300_to_349,contract_rent_distribution_cash_rent_350_to_399,contract_rent_distribution_cash_rent_400_to_449,contract_rent_distribution_cash_rent_450_to_499,contract_rent_distribution_cash_rent_500_to_549,contract_rent_distribution_cash_rent_550_to_599,contract_rent_distribution_cash_rent_600_to_649,contract_rent_distribution_cash_rent_650_to_699,contract_rent_distribution_cash_rent_700_to_749,contract_rent_distribution_cash_rent_750_to_799,contract_rent_distribution_cash_rent_800_to_899,contract_rent_distribution_cash_rent_900_to_999,contract_rent_distribution_cash_rent_1000_to_1249,contract_rent_distribution_cash_rent_1250_to_1499,contract_rent_distribution_cash_rent_1500_to_1999,contract_rent_distribution_cash_rent_2000_plus,contract_rent_distribution_cash_rent_2000_to_2499,contract_rent_distribution_cash_rent_2500_to_2999,contract_rent_distribution_cash_rent_3000_to_3499,contract_rent_distribution_cash_rent_3500_plus,contract_rent_distribution_no_cash_rent,acs5_vintage,tract_vintage,rent_source,pit_vintage,pit_allocation_basis,coc_boundary_vintage,county_vintage,msa_definition_version
msa,35620,35620,35620,"New York-Newark-Jersey City, NY-NJ",2010,1,20081935,67494.54965614234,63213.91644229142,4280.633213850916,1047.103354765285,3104810.0,3196625.0,3104810.0,18164.0,31283.0,63375.0,77033.0,42921.0,46933.0,38734.0,50590.0,46791.0,79113.0,69415.0,103957.0,88570.0,123336.0,114623.0,292500.0,303994.0,579944.0,348715.0,346946.0,237873.0,,,,,91815.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,35620,35620,35620,"New York-Newark-Jersey City, NY-NJ",2020,1,20081935,90579.39454953992,85255.73712585281,5323.657423687099,1462.679118223892,3317825.0,3418154.0,3317825.0,14984.0,17389.0,43587.0,70400.0,56207.0,41147.0,30425.0,34895.0,28513.0,41266.0,27607.0,45434.0,31016.0,46448.0,49523.0,149172.0,165358.0,538699.0,499654.0,698414.0,,315134.0,155930.0,100910.0,115713.0,100329.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,31080,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",2010,2,13200998,47047.29034713772,19602.918133628424,27444.372213509294,1125.6361917588122,2000644.0,2051269.0,2000644.0,7181.0,5022.0,8711.0,29961.0,16731.0,14123.0,13026.0,23926.0,21172.0,39146.0,32321.0,59885.0,49242.0,75496.0,81962.0,193294.0,196011.0,397523.0,279304.0,295218.0,161389.0,,,,,50625.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,31080,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",2020,2,13200998,73409.36378373583,21410.649566354783,51998.71421738106,1562.732456325719,2185538.0,2242805.0,2185538.0,7695.0,4063.0,4346.0,23983.0,23343.0,11777.0,8248.0,13943.0,10559.0,18687.0,11399.0,22445.0,14835.0,28180.0,28306.0,89185.0,105769.0,342570.0,325080.0,548003.0,,286669.0,135308.0,67614.0,53531.0,57267.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,16980,16980,16980,"Chicago-Naperville-Elgin, IL-IN",2010,3,9449351,10449.951610386952,8988.54972697011,1461.4018834168419,819.8497378285756,1045710.0,1080013.0,1045710.0,12834.0,11895.0,19691.0,12070.0,11549.0,15212.0,15170.0,23885.0,25812.0,47526.0,45689.0,72873.0,65271.0,82423.0,78112.0,148307.0,91976.0,125847.0,64622.0,49816.0,25130.0,,,,,34303.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,16980,16980,16980,"Chicago-Naperville-Elgin, IL-IN",2020,3,9449351,8115.4126384569045,6255.3536366301805,1860.0590018267242,1103.3664101994452,1186325.0,1227604.0,1186325.0,11646.0,8274.0,16834.0,16264.0,11252.0,11962.0,9973.0,16585.0,12691.0,25431.0,22144.0,38209.0,30293.0,49662.0,51566.0,128102.0,118893.0,214615.0,140575.0,151876.0,,57590.0,21722.0,11519.0,8647.0,41279.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,19100,19100,19100,"Dallas-Fort Worth-Arlington, TX",2010,4,7637387,6187.706379207543,5593.066275127894,594.6401040796486,710.5451612087495,791561.0,818964.0,791561.0,7596.0,5897.0,6950.0,5762.0,5747.0,11443.0,16149.0,34087.0,48155.0,67613.0,64816.0,76894.0,67484.0,67211.0,53310.0,80100.0,49844.0,67619.0,28093.0,18095.0,8696.0,,,,,27403.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,19100,19100,19100,"Dallas-Fort Worth-Arlington, TX",2020,4,7637387,6786.671541965686,4251.535652450436,2535.1358895152503,1079.368155089679,1026011.0,1054443.0,1026011.0,4119.0,3118.0,4960.0,6315.0,4534.0,5628.0,5803.0,7490.0,8430.0,17067.0,16080.0,31701.0,33433.0,46451.0,54245.0,125881.0,114917.0,215416.0,142819.0,128907.0,,29509.0,10320.0,4301.0,4567.0,28432.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,26420,26420,26420,"Houston-Pasadena-The Woodlands, TX",2010,5,7149642,6722.038630883081,4353.251213832525,2368.7874170505556,693.5537104986453,687982.0,719570.0,687982.0,5186.0,6103.0,5006.0,6526.0,7499.0,12261.0,17494.0,38312.0,49130.0,62410.0,56716.0,65304.0,51034.0,53544.0,40394.0,62358.0,42843.0,57405.0,24416.0,15769.0,8272.0,,,,,31588.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,26420,26420,26420,"Houston-Pasadena-The Woodlands, TX",2020,5,7149642,4193.629542379103,2399.9730641935225,1793.6564781855805,1036.2136125130066,909985.0,943457.0,909985.0,4740.0,4049.0,5660.0,5741.0,4285.0,6271.0,5454.0,9361.0,8120.0,21236.0,20492.0,38025.0,36854.0,51605.0,52759.0,106984.0,97475.0,175056.0,117890.0,96166.0,,24034.0,8491.0,4619.0,4618.0,33472.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
