geo_type,geo_id,msa_id,cbsa_code,msa_name,year,msa_population_rank_2020_census_nonpr,msa_2020_census_population,pit_total,pit_sheltered,pit_unsheltered,january_tmin_c,january_tmin_below_freezing,sanctuary_match,sanctuary_state_match,sanctuary_county_match,sanctuary_city_match,sanctuary_matched_states,sanctuary_matched_counties,sanctuary_matched_cities,match_basis,source_panel
msa,35620,35620,35620,"New York-Newark-Jersey City, NY-NJ",2020,1,20081935,90579.39454953992,85255.73712585281,5323.657423687099,-1.717139230070213,True,True,True,False,True,New York,,"Hoboken, NJ; Jersey City, NJ; New York City, NY; Newark, NJ; Paterson, NJ",state+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,31080,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",2020,2,13200998,73409.36378373583,21410.649566354783,51998.71421738106,7.0391087928085785,False,True,True,False,True,California,,"Los Angeles, CA",state+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,16980,16980,16980,"Chicago-Naperville-Elgin, IL-IN",2020,3,9449351,8115.4126384569045,6255.3536366301805,1860.0590018267242,-4.946792615268044,True,True,True,True,True,Illinois,"Cook County, IL","Chicago, IL",state+county+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,19100,19100,19100,"Dallas-Fort Worth-Arlington, TX",2020,4,7637387,6786.671541965686,4251.535652450436,2535.1358895152503,3.653333139582008,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,26420,26420,26420,"Houston-Pasadena-The Woodlands, TX",2020,5,7149642,4193.629542379103,2399.9730641935225,1793.6564781855805,8.461206852879878,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,47900,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,6,6278542,9967.33725721209,8750.475136352139,1216.86212085995,-1.0596674983601313,True,True,True,False,False,District of Columbia,,,state,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,37980,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,7,6245051,8441.590938792584,7175.980748336306,1265.6101904562777,-1.5046169971025614,True,True,True,False,True,Delaware,,"Philadelphia, PA",state+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,33100,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020,8,6138333,7280.702533055039,4246.864602394908,3033.8379306601314,15.008545644111996,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,12060,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",2020,9,6104803,4882.589746566689,3287.251506342792,1595.3382402238974,2.835798929651156,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,14460,14460,14460,"Boston-Cambridge-Newton, MA-NH",2020,10,4941632,12499.488727099091,11752.504936122004,746.9837909770871,-4.048379522616431,True,True,False,False,True,,,"Boston, MA",city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,38060,38060,38060,"Phoenix-Mesa-Chandler, AZ",2020,11,4845832,7527.180945617636,3703.02288491245,3824.1580607051865,3.7952033155220444,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,41860,41860,41860,"San Francisco-Oakland-Fremont, CA",2020,12,4749008,21141.997143655233,6470.998762018692,14670.998381636542,6.110097133716823,False,True,True,True,True,California,"San Francisco County, CA","Berkeley, CA; San Francisco City, CA",state+county+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,40140,40140,40140,"Riverside-San Bernardino-Ontario, CA",2020,13,4599839,6010.9636011284565,1464.6164242994046,4546.347176829052,3.963200990354734,False,True,True,False,False,California,,,state,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,19820,19820,19820,"Detroit-Warren-Dearborn, MI",2020,14,4392041,2653.016227585425,2361.4932039534365,291.5230236319884,-3.801702544971785,True,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,42660,42660,42660,"Seattle-Tacoma-Bellevue, WA",2020,15,4018762,14780.000199358556,7615.000112107498,7165.000087251057,-0.0022702087379334137,True,True,True,False,True,Washington,,"Seattle, WA",state+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,33460,33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2020,16,3690261,5515.9991466277215,4295.668870304493,1220.3302763232289,-12.02221365494464,True,True,True,False,False,Minnesota,,,state,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,41740,41740,41740,"San Diego-Chula Vista-Carlsbad, CA",2020,17,3298634,7637.839927657782,3666.916506310114,3970.9234213476684,4.99421932916814,False,True,True,True,False,California,"San Diego County, CA",,state+county,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,45300,45300,45300,"Tampa-St. Petersburg-Clearwater, FL",2020,18,3175275,4696.666758782908,2515.892922720849,2180.7738360620588,11.385533206056774,False,False,False,False,False,,,,none,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,19740,19740,19740,"Denver-Aurora-Centennial, CO",2020,19,2963821,5172.057609743627,3830.142885389839,1341.914724353788,-8.42254039551943,True,True,True,False,True,Colorado,,"Denver, CO",state+city,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
msa,12580,12580,12580,"Baltimore-Columbia-Towson, MD",2020,20,2844510,3691.1889792316883,3005.4484704932306,685.7405087384576,-0.5980655161900591,True,True,False,True,False,,"Baltimore County, MD",,county,top50_msa_nonpr_coc_pit_contract_rent_2010_2020
